# theta1 R1 theta2 R2 
13.6747 0.000207426 13.6747 0.000165251 
13.7722 0.000226607 13.7722 0.000179495 
13.8697 0.000338111 13.8697 0.000266662 
13.9673 0.000386152 13.9673 0.000303733 
14.065 0.000301338 14.065 0.000236536 
14.1626 0.000195327 14.1626 0.000152895 
14.2603 0.000209567 14.2603 0.000163044 
14.3581 0.000322846 14.3581 0.000250012 
14.4559 0.000379088 14.4559 0.000292737 
14.5537 0.000298925 14.5537 0.000230348 
14.6516 0.000188481 14.6516 0.000144852 
14.7496 0.000196783 14.7496 0.000150261 
14.8475 0.000313152 14.8475 0.000237919 
14.9455 0.000379562 14.9455 0.00028752 
15.0436 0.000303988 15.0436 0.000229775 
15.1417 0.000187027 15.1417 0.000141008 
15.2399 0.000188194 15.2399 0.000140932 
15.3381 0.000309314 15.3381 0.000230366 
15.4363 0.000388525 15.4363 0.000288457 
15.5346 0.000317692 15.5346 0.000235347 
15.6329 0.000191637 15.6329 0.000141628 
15.7313 0.000184085 15.7313 0.000135091 
15.8297 0.000312192 15.8297 0.000227721 
15.9282 0.000407973 15.9282 0.00029661 
16.0268 0.00034238 16.0268 0.000248362 
16.1253 0.000203795 16.1253 0.000147513 
16.224 0.000185251 16.224 0.000133118 
16.3226 0.000323552 16.3226 0.000230938 
16.4214 0.000441629 16.4214 0.000314125 
16.5201 0.000382404 16.5201 0.000271378 
16.619 0.000226379 16.619 0.000160346 
16.7178 0.000193359 16.7178 0.000135944 
16.8168 0.000346779 16.8168 0.000241966 
16.9157 0.00049643 16.9157 0.000345118 
17.0148 0.000445945 17.0148 0.000309311 
17.1139 0.000264958 17.1139 0.000183481 
17.213 0.000211757 17.213 0.00014555 
17.3122 0.000388493 17.3122 0.000264722 
17.4114 0.000585966 17.4114 0.000397733 
17.5107 0.000549317 17.5107 0.000372015 
17.6101 0.000330954 17.6101 0.000223855 
17.7095 0.000247519 17.7095 0.000166194 
17.8089 0.000462694 17.8089 0.000307552 
17.9085 0.000739488 17.9085 0.000489504 
18.008 0.00072858 18.008 0.000481246 
18.1077 0.000450413 18.1077 0.000297291 
18.2073 0.000317289 18.2073 0.000207949 
18.3071 0.00060315 18.3071 0.000390574 
18.4069 0.00102993 18.4069 0.000663972 
18.5068 0.00107707 18.5068 0.000693045 
18.6067 0.000693532 18.6067 0.00044628 
18.7066 0.000468066 18.7066 0.000299212 
18.8067 0.000910606 18.8067 0.000573471 
18.9068 0.00168697 18.9068 0.00105727 
19.0069 0.00190603 19.0069 0.001193 
19.1071 0.00130917 19.1071 0.000820677 
19.2074 0.000881575 19.2074 0.000549225 
19.3078 0.00182321 19.3078 0.00111303 
19.4081 0.00381421 19.4081 0.00231618 
19.5086 0.00487899 19.5086 0.00296395 
19.6091 0.00379899 19.6091 0.00232032 
19.7097 0.002951 19.7097 0.00178436 
19.8104 0.00811392 19.8104 0.00472582 
19.9111 0.0237601 19.9111 0.013765 
20.0119 0.0471568 20.0119 0.0274915 
20.1127 0.0682357 20.1127 0.0402189 
20.2136 0.0768048 20.2136 0.0457443 
20.3146 0.069488 20.3146 0.0415916 
20.4156 0.0505948 20.4156 0.0301827 
20.5167 0.0286423 20.5167 0.0168879 
20.6179 0.0117331 20.6179 0.00678683 
20.7191 0.00357243 20.7191 0.00201407 
20.8204 0.00228287 20.8204 0.00128566 
20.9218 0.003221 20.9218 0.00182154 
21.0232 0.0031487 21.0232 0.001769 
21.1248 0.00186083 21.1248 0.001035 
21.2263 0.000725591 21.2263 0.000398181 
21.328 0.000554465 21.328 0.00030291 
21.4297 0.000928534 21.4297 0.000506633 
21.5315 0.00104717 21.5315 0.000567847 
21.6334 0.000699021 21.6334 0.000376022 
21.7353 0.000295606 21.7353 0.000157357 
21.8373 0.000219894 21.8373 0.000116178 
21.9394 0.000395036 21.9394 0.000208048 
22.0415 0.000488052 22.0415 0.000255515 
22.1438 0.000354439 22.1438 0.000184234 
22.2461 0.00015854 22.2461 8.16647e-05 
22.3484 0.000108898 22.3484 5.55683e-05 
22.4509 0.000201631 22.4509 0.000102423 
22.5534 0.000268526 22.5534 0.000135609 
22.656 0.000209687 22.656 0.000105178 
22.7587 9.89099e-05 22.7587 4.92058e-05 
22.8615 6.17579e-05 22.8615 3.03996e-05 
22.9643 0.000114389 22.9643 5.59808e-05 
23.0672 0.000163008 23.0672 7.93096e-05 
23.1702 0.000136233 23.1702 6.58453e-05 
23.2733 6.7929e-05 23.2733 3.2579e-05 
23.3764 3.86251e-05 23.3764 1.83177e-05 
23.4797 6.95286e-05 23.4797 3.27381e-05 
23.583 0.000105523 23.583 4.93928e-05 
23.6864 9.41943e-05 23.6864 4.38014e-05 
23.7899 4.98197e-05 23.7899 2.29946e-05 
23.8934 2.61304e-05 23.8934 1.19233e-05 
23.9971 4.43731e-05 23.9971 2.00728e-05 
24.1008 7.14168e-05 24.1008 3.21105e-05 
24.2046 6.80274e-05 24.2046 3.03853e-05 
24.3085 3.82854e-05 24.3085 1.69758e-05 
24.4125 1.88948e-05 24.4125 8.28329e-06 
24.5165 2.9385e-05 24.5165 1.27507e-05 
24.6207 4.98943e-05 24.6207 2.15136e-05 
24.7249 5.06934e-05 24.7249 2.17123e-05 
24.8292 3.04331e-05 24.8292 1.29398e-05 
24.9337 1.4468e-05 24.9337 6.08388e-06 
25.0382 2.0056e-05 25.0382 8.33422e-06 
25.1428 3.56712e-05 25.1428 1.47245e-05 
25.2474 3.86458e-05 25.2474 1.58437e-05 
25.3522 2.47914e-05 25.3522 1.0089e-05 
25.4571 1.16282e-05 25.4571 4.6818e-06 
25.562 1.40625e-05 25.562 5.5867e-06 
25.6671 2.59352e-05 25.6671 1.02299e-05 
25.7722 2.99489e-05 25.7722 1.17305e-05 
25.8774 2.05524e-05 25.8774 7.98966e-06 
25.9828 9.72202e-06 25.9828 3.7405e-06 
26.0882 1.01232e-05 26.0882 3.83817e-06 
26.1937 1.9089e-05 26.1937 7.18086e-06 
26.2993 2.34776e-05 26.2993 8.76813e-06 
26.405 1.72454e-05 26.405 6.39101e-06 
26.5108 8.38071e-06 26.5108 3.07471e-06 
26.6167 7.49278e-06 26.6167 2.7063e-06 
26.7227 1.41764e-05 26.7227 5.07547e-06 
26.8288 1.85448e-05 26.8288 6.58992e-06 
26.935 1.45831e-05 26.935 5.1409e-06 
27.0413 7.38704e-06 27.0413 2.57846e-06 
27.1477 5.71757e-06 27.1477 1.96357e-06 
27.2542 1.05992e-05 27.2542 3.60376e-06 
27.3608 1.47128e-05 27.3608 4.96351e-06 
27.4675 1.23834e-05 27.4675 4.14322e-06 
27.5743 6.60877e-06 27.5743 2.18946e-06 
27.6812 4.51076e-06 27.6812 1.46997e-06 
27.7883 7.96882e-06 27.7883 2.56711e-06 
27.8954 1.16928e-05 27.8954 3.73609e-06 
28.0026 1.05278e-05 28.0026 3.33505e-06 
28.1099 5.96357e-06 28.1099 1.87046e-06 
28.2174 3.68506e-06 28.2174 1.13703e-06 
28.3249 6.02392e-06 28.3249 1.83419e-06 
28.4326 9.28819e-06 28.4326 2.80374e-06 
28.5404 8.93763e-06 28.5404 2.67383e-06 
28.6482 5.39964e-06 28.6482 1.59909e-06 
28.7562 3.11479e-06 28.7562 9.07732e-07 
28.8643 4.5835e-06 28.8643 1.31572e-06 
28.9726 7.36118e-06 28.9726 2.09358e-06 
29.0809 7.5593e-06 29.0809 2.12986e-06 
29.1893 4.88459e-06 29.1893 1.36197e-06 
29.2979 2.71371e-06 29.2979 7.44899e-07 
29.4066 3.51848e-06 29.4066 9.49616e-07 
29.5153 5.81241e-06 29.5153 1.55302e-06 
29.6243 6.35617e-06 29.6243 1.68169e-06 
29.7333 4.3987e-06 29.7333 1.15128e-06 
29.8424 2.42169e-06 29.8424 6.24203e-07 
29.9517 2.73441e-06 29.9517 6.91896e-07 
30.0611 4.56814e-06 30.0611 1.14312e-06 
30.1706 5.30261e-06 30.1706 1.31325e-06 
30.2802 3.93087e-06 30.2802 9.62611e-07 
30.3899 2.19648e-06 30.3899 5.29835e-07 
30.4998 2.16051e-06 30.4998 5.10969e-07 
30.6098 3.57206e-06 30.6098 8.34359e-07 
30.7199 4.38043e-06 30.7199 1.01203e-06 
30.8302 3.47584e-06 30.8302 7.93614e-07 
30.9406 2.00844e-06 30.9406 4.51733e-07 
31.0511 1.74269e-06 31.0511 3.83963e-07 
31.1617 2.77985e-06 31.1617 6.03913e-07 
31.2724 3.57623e-06 31.2724 7.67914e-07 
31.3833 3.03248e-06 31.3833 6.43112e-07 
31.4943 1.83721e-06 31.4943 3.83755e-07 
31.6055 1.43893e-06 31.6055 2.94286e-07 
31.7168 2.15558e-06 31.7168 4.33864e-07 
31.8282 2.87972e-06 31.8282 5.72395e-07 
31.9398 2.60244e-06 31.9398 5.10521e-07 
32.0514 1.66936e-06 32.0514 3.22429e-07 
32.1633 1.21634e-06 32.1633 2.29978e-07 
32.2752 1.66936e-06 32.2752 3.09997e-07 
32.3873 2.28246e-06 32.3873 4.1811e-07 
32.4996 2.18926e-06 32.4996 3.95463e-07 
32.612 1.4969e-06 32.612 2.6608e-07 
32.7245 1.04913e-06 32.7245 1.82545e-07 
32.8371 1.29573e-06 32.8371 2.20989e-07 
32.9499 1.77694e-06 32.9499 2.98541e-07 
33.0629 1.79765e-06 33.0629 2.97521e-07 
33.176 1.31621e-06 33.176 2.14197e-07 
33.2892 9.17325e-07 33.2892 1.4612e-07 
33.4026 1.01265e-06 33.4026 1.57839e-07 
33.5162 1.35603e-06 33.5162 2.07841e-07 
33.6299 1.43292e-06 33.6299 2.16085e-07 
33.7437 1.12723e-06 33.7437 1.66977e-07 
33.8577 8.05961e-07 33.8577 1.16839e-07 
33.9718 8.00899e-07 33.9718 1.13465e-07 
34.0861 1.01252e-06 34.0861 1.40751e-07 
34.2006 1.10057e-06 34.2006 1.5028e-07 
34.3152 9.3297e-07 34.3152 1.24981e-07 
34.4299 7.04614e-07 34.4299 9.23462e-08 
34.5448 6.43802e-07 34.5448 8.23948e-08 
34.6599 7.38928e-07 34.6599 9.25589e-08 
34.7752 8.0596e-07 34.7752 9.89465e-08 
34.8906 7.39187e-07 34.8906 8.88872e-08 
35.0061 6.07281e-07 35.0061 7.14132e-08 
35.1218 5.2722e-07 35.1218 6.05291e-08 
35.2377 5.27377e-07 35.2377 5.91023e-08 
35.3538 5.5407e-07 35.3538 6.06606e-08 
35.47 5.54282e-07 35.47 5.9318e-08 
35.5864 5.1258e-07 35.5864 5.36257e-08 
35.703 4.39868e-07 35.703 4.49382e-08 
35.8197 3.69688e-07 35.8197 3.67772e-08 
35.9366 3.49425e-07 35.9366 3.37886e-08 
36.0537 3.89505e-07 36.0537 3.67251e-08 
36.1709 4.24447e-07 36.1709 3.9133e-08 
36.2883 3.74031e-07 36.2883 3.36912e-08 
36.406 2.57625e-07 36.406 2.25572e-08 
36.5237 1.96151e-07 36.5237 1.65612e-08 
36.6417 2.59642e-07 36.6417 2.13295e-08 
36.7598 3.53614e-07 36.7598 2.84514e-08 
36.8782 3.26963e-07 36.8782 2.57044e-08 
36.9967 1.83443e-07 36.9967 1.40073e-08 
37.1154 9.83118e-08 37.1154 7.16264e-09 
37.2342 1.84548e-07 37.2342 1.31099e-08 
37.3533 3.20537e-07 37.3533 2.2322e-08 
37.4726 3.03559e-07 37.4726 2.06134e-08 
37.592 1.40975e-07 37.592 9.29429e-09 
37.7116 6.06852e-08 37.7116 3.82661e-09 
37.8315 1.92316e-07 37.8315 1.18373e-08 
37.9515 3.61235e-07 37.9515 2.16337e-08 
38.0717 3.21638e-07 38.0717 1.86814e-08 
38.1921 1.27832e-07 38.1921 7.1945e-09 
38.3128 9.04659e-08 38.3128 4.93765e-09 
38.4336 3.25858e-07 38.4336 1.71657e-08 
38.5546 5.39399e-07 38.5546 2.74336e-08 
38.6758 4.23069e-07 38.6758 2.07706e-08 
38.7973 1.50194e-07 38.7973 7.11367e-09 
38.9189 2.00985e-07 38.9189 9.14051e-09 
39.0408 6.57182e-07 39.0408 2.88002e-08 
39.1628 9.73181e-07 39.1628 4.10889e-08 
39.2851 6.99089e-07 39.2851 2.84469e-08 
39.4076 2.34212e-07 39.4076 9.15365e-09 
39.5303 4.20462e-07 39.5303 1.54752e-08 
39.6532 1.321e-06 39.6532 4.68175e-08 
39.7763 1.90019e-06 39.7763 6.47633e-08 
39.8997 1.35403e-06 39.8997 4.44015e-08 
40.0233 4.56223e-07 40.0233 1.43257e-08 
40.1471 8.15014e-07 40.1471 2.3598e-08 
40.2711 2.60362e-06 40.2711 7.23623e-08 
40.3954 3.85616e-06 40.3954 1.02706e-07 
40.5199 2.88865e-06 40.5199 7.37443e-08 
40.6446 1.03503e-06 40.6446 2.52223e-08 
40.7695 1.55937e-06 40.7695 3.43002e-08 
40.8947 5.22056e-06 40.8947 1.09521e-07 
41.0202 8.26128e-06 41.0202 1.65153e-07 
41.1458 6.73653e-06 41.1458 1.28264e-07 
41.2717 2.67529e-06 41.2717 4.837e-08 
41.3979 3.21031e-06 41.3979 5.12314e-08 
41.5243 1.14301e-05 41.5243 1.71993e-07 
41.6509 1.9935e-05 41.6509 2.83453e-07 
41.7778 1.82109e-05 41.7778 2.44249e-07 
41.905 8.31037e-06 41.905 1.04895e-07 
42.0324 8.2475e-06 42.0324 8.95087e-08 
42.16 3.18705e-05 42.16 3.19753e-07 
42.2879 6.43738e-05 42.2879 6.02367e-07 
42.4161 6.95866e-05 42.4161 6.05089e-07 
42.5445 3.91071e-05 42.5445 3.14981e-07 
42.6732 4.08631e-05 42.6732 2.71434e-07 
42.8022 0.00020275 42.8022 1.20318e-06 
42.9314 0.000614386 42.9314 3.30819e-06 
43.0609 0.00121555 43.0609 5.86175e-06 
43.1907 0.00177893 43.1907 7.60191e-06 
43.3208 0.00203153 43.3208 7.61811e-06 
43.4511 0.00183676 43.4511 5.98556e-06 
43.5817 0.00129396 43.5817 3.63028e-06 
43.7126 0.000671742 43.7126 1.61103e-06 
43.8438 0.00022697 43.8438 4.64535e-07 
43.9753 5.21019e-05 43.9753 8.47222e-08 
44.1071 6.1921e-05 44.1071 6.48223e-08 
44.2391 0.000106866 44.2391 8.81164e-08 
44.3715 9.93514e-05 44.3715 6.26446e-08 
44.5042 5.08032e-05 44.5042 2.35978e-08 
44.6371 1.55195e-05 44.6371 4.58468e-09 
44.7704 1.86295e-05 44.7704 1.57756e-09 
44.904 3.83645e-05 44.904 1.19069e-09 
45.0379 4.24665e-05 45.0379 3.53074e-10 
45.1721 2.57669e-05 45.1721 3.06666e-10 
45.3066 8.83445e-06 45.3066 4.92134e-10 
45.4414 8.57563e-06 45.4414 1.97929e-09 
45.5766 1.95345e-05 45.5766 7.06341e-09 
45.7121 2.45757e-05 45.7121 1.26104e-08 
45.8479 1.69869e-05 45.8479 1.1775e-08 
45.9841 6.46e-06 45.9841 5.9711e-09 
46.1205 4.82653e-06 46.1205 7.19804e-09 
46.2574 1.15882e-05 46.2574 2.14145e-08 
46.3945 1.63346e-05 46.3945 3.55736e-08 
46.5321 1.26643e-05 46.5321 3.21897e-08 
46.6699 5.35926e-06 46.6699 1.58207e-08 
46.8081 3.11486e-06 46.8081 1.20543e-08 
46.9467 7.45047e-06 46.9467 3.37298e-08 
47.0856 1.16959e-05 47.0856 5.8951e-08 
47.2249 1.00925e-05 47.2249 5.64679e-08 
47.3646 4.7636e-06 47.3646 2.94755e-08 
47.5046 2.26116e-06 47.5046 1.66721e-08 
47.645 5.0193e-06 47.645 4.23441e-08 
47.7858 8.74074e-06 47.7858 7.9894e-08 
47.927 8.35894e-06 47.927 8.26856e-08 
48.0685 4.39996e-06 48.0685 4.69716e-08 
48.2105 1.83043e-06 48.2105 2.20263e-08 
48.3528 3.48359e-06 48.3528 4.74084e-08 
48.4956 6.69691e-06 48.4956 9.72316e-08 
48.6387 7.08147e-06 48.6387 1.09565e-07 
48.7822 4.14984e-06 48.7822 6.82938e-08 
48.9262 1.62955e-06 48.9262 2.92009e-08 
49.0706 2.47286e-06 49.0706 4.96367e-08 
49.2154 5.20203e-06 49.2154 1.10373e-07 
49.3606 6.07635e-06 49.3606 1.35968e-07 
49.5062 3.9547e-06 49.5062 9.3223e-08 
49.6523 1.56049e-06 49.6523 3.92e-08 
49.7989 1.79604e-06 49.7989 5.00051e-08 
49.9458 4.06671e-06 49.9458 1.19063e-07 
50.0933 5.24675e-06 50.0933 1.60796e-07 
50.2411 3.78319e-06 50.2411 1.21301e-07 
50.3895 1.56814e-06 50.3895 5.28679e-08 
50.5383 1.34486e-06 50.5383 4.96469e-08 
50.6875 3.18351e-06 50.6875 1.23333e-07 
50.8373 4.53836e-06 50.8373 1.8301e-07 
50.9875 3.61776e-06 50.9875 1.51835e-07 
51.1382 1.61884e-06 51.1382 7.08383e-08 
51.2894 1.05293e-06 51.2894 4.97871e-08 
51.4412 2.48732e-06 51.4412 1.23493e-07 
51.5934 3.91943e-06 51.5934 2.01673e-07 
51.7461 3.44866e-06 51.7461 1.83927e-07 
51.8994 1.69079e-06 51.8994 9.34968e-08 
52.0531 8.76718e-07 52.0531 5.1684e-08 
52.2074 1.93632e-06 52.2074 1.20127e-07 
52.3623 3.37094e-06 52.3623 2.16009e-07 
52.5177 3.27084e-06 52.5177 2.16517e-07 
52.6736 1.76919e-06 52.6736 1.20956e-07 
52.8301 7.85904e-07 52.8301 5.65693e-08 
52.9872 1.50213e-06 52.9872 1.14074e-07 
53.1448 2.88137e-06 53.1448 2.25451e-07 
53.303 3.08224e-06 53.303 2.48438e-07 
53.4618 1.84378e-06 53.4618 1.53046e-07 
53.6212 7.58298e-07 53.6212 6.55873e-08 
53.7812 1.16448e-06 53.7812 1.06405e-07 
53.9418 2.44364e-06 53.9418 2.29687e-07 
54.1031 2.88285e-06 54.1031 2.78477e-07 
54.2649 1.90742e-06 54.2649 1.89313e-07 
54.4274 7.7695e-07 54.4274 7.97391e-08 
54.5906 9.08084e-07 54.5906 9.83813e-08 
54.7544 2.05342e-06 54.7544 2.28696e-07 
54.9189 2.67403e-06 54.9189 3.0544e-07 
55.084 1.95527e-06 55.084 2.29041e-07 
55.2499 8.28495e-07 55.2499 9.98317e-08 
55.4164 7.07021e-07 55.4164 8.95844e-08 
55.5836 1.53424e-06 55.5836 1.98336e-07 
55.7516 2.57122e-06 55.7516 3.41799e-07 
